INFO     | 2021-01-14 06:36:29,680 | progress   |       Finished subset 59/528, 11.17 percent done
INFO     | 2021-01-14 06:37:09,092 | progress   |       Finished subset 60/528, 11.36 percent done
INFO     | 2021-01-14 06:37:40,112 | progress   |       Finished subset 61/528, 11.55 percent done
INFO     | 2021-01-14 06:37:55,321 | progress   |       Finished subset 62/528, 11.74 percent done
INFO     | 2021-01-14 06:38:24,542 | progress   |       Finished subset 63/528, 11.93 percent done
INFO     | 2021-01-14 06:39:14,905 | progress   |       Finished subset 64/528, 12.12 percent done
INFO     | 2021-01-14 06:39:26,271 | progress   |       Finished subset 65/528, 12.31 percent done
INFO     | 2021-01-14 06:39:38,909 | progress   |       Finished subset 66/528, 12.50 percent done
INFO     | 2021-01-14 06:39:58,572 | progress   |       Finished subset 67/528, 12.69 percent done
INFO     | 2021-01-14 06:40:48,674 | progress   |       Finished subset 68/528, 12.88 percent done
INFO     | 2021-01-14 06:41:30,155 | progress   |       Finished subset 69/528, 13.07 percent done
INFO     | 2021-01-14 06:41:52,916 | progress   |       Finished subset 70/528, 13.26 percent done
INFO     | 2021-01-14 06:42:42,469 | progress   |       Finished subset 71/528, 13.45 percent done
INFO     | 2021-01-14 06:43:13,578 | progress   |       Finished subset 72/528, 13.64 percent done
INFO     | 2021-01-14 06:43:16,676 | progress   |       Finished subset 73/528, 13.83 percent done
INFO     | 2021-01-14 06:44:00,281 | progress   |       Finished subset 74/528, 14.02 percent done
INFO     | 2021-01-14 06:44:10,533 | progress   |       Finished subset 75/528, 14.20 percent done
INFO     | 2021-01-14 06:44:57,883 | progress   |       Finished subset 76/528, 14.39 percent done
INFO     | 2021-01-14 06:45:16,226 | progress   |       Finished subset 77/528, 14.58 percent done
INFO     | 2021-01-14 06:45:25,204 | progress   |       Finished subset 78/528, 14.77 percent done
INFO     | 2021-01-14 06:45:51,259 | progress   |       Finished subset 79/528, 14.96 percent done
INFO     | 2021-01-14 06:46:48,182 | progress   |       Finished subset 80/528, 15.15 percent done
INFO     | 2021-01-14 06:46:50,933 | progress   |       Finished subset 81/528, 15.34 percent done
