Iteration	Posterior	Likelihood	Prior	extirpation_rate	log10_rate_bg	rate_bg
26800	-202.6876	-201.0385	-1.649053	1.003799	-0.4117274	0.3875008
26900	-202.2832	-200.5791	-1.704111	1.039289	-0.4888544	0.3244484
27000	-203.4583	-201.3204	-2.137917	1.281241	-0.321471	0.4770117
27100	-202.4345	-199.6508	-2.783691	1.596943	-0.622023	0.2387685
27200	-202.8982	-199.4289	-3.469336	1.918344	-0.6432458	0.227381
27300	-202.4689	-200.5548	-1.914134	1.162276	-0.4086766	0.3902324
27400	-203.688	-198.8451	-4.842912	2.570877	-0.5413916	0.2874805
27500	-203.3259	-201.6451	-1.68085	1.024523	-0.3426507	0.4543069
27600	-202.1627	-200.3418	-1.820938	1.109583	-0.5323988	0.2934953
27700	-202.6454	-201.0863	-1.559161	0.9407358	-0.5669533	0.2710483
27800	-202.6828	-199.7163	-2.966511	1.683144	-0.645232	0.2263435
27900	-202.9358	-199.7167	-3.219105	1.80145	-0.6612065	0.2181692
28000	-203.72	-198.8911	-4.828976	2.56409	-0.5243346	0.298996
28100	-202.8631	-201.2452	-1.617854	0.9827595	-0.6249057	0.2371889
28200	-202.6246	-200.9944	-1.630157	0.991148	-0.4259164	0.3750452
28300	-203.6158	-201.6755	-1.940269	1.176651	-0.3112795	0.488338
28400	-202.1132	-200.1285	-1.984654	1.200728	-0.5573762	0.2770919
28500	-202.243	-199.1059	-3.137128	1.763117	-0.5231126	0.2998385
28600	-203.5145	-199.1556	-4.358922	2.33754	-0.4690442	0.3395907
28700	-205.0174	-199.8104	-5.207053	2.749823	-0.4237666	0.3769063
28800	-202.8857	-200.625	-2.260664	1.343516	-0.3644206	0.4320952
28900	-202.1833	-199.4601	-2.723161	1.568229	-0.4660084	0.3419728
29000	-202.2798	-199.856	-2.423746	1.424158	-0.6082051	0.2464875
29100	-202.7699	-199.004	-3.765898	2.057136	-0.4966937	0.3186444
29200	-202.3724	-199.3584	-3.014014	1.705444	-0.6002834	0.2510248
29300	-203.0107	-201.2896	-1.721074	1.049871	-0.3657081	0.4308161
29400	-202.0983	-200.1133	-1.984996	1.200912	-0.4702372	0.3386591
29500	-204.7718	-198.9219	-5.849889	3.073957	-0.5914312	0.2561939
29600	-202.9141	-201.4475	-1.466629	0.8638376	-0.4518223	0.3533277
29700	-202.052	-199.3128	-2.739175	1.575836	-0.5205525	0.3016112
29800	-204.0638	-200.9389	-3.124947	1.757417	-0.7504458	0.1776455
29900	-202.5506	-200.662	-1.888565	1.148055	-0.4002554	0.3978731
30000	-204.9289	-200.1921	-4.736782	2.519297	-0.7443696	0.1801484
30100	-203.0047	-199.8872	-3.117591	1.753975	-0.3958331	0.4019452
